# kernel32.dll exports and whether Windows XP SP3 (5.1) has them.
# Source: Geoff Chappell, 'KERNEL32 Functions' (geoffchappell.com/studies/windows/win32/kernel32/api),
# column = version range the export exists in. Format: name<TAB>xp|no<TAB>versions
# Generated once; re-run scripts/fetch-exports.py to refresh.
AcquireSRWLockExclusive	no	6.0 and higher
AcquireSRWLockShared	no	6.0 and higher
AcquireStateLock	no	6.2 only
ActivateActCtx	xp	5.1 and higher
ActivateActCtxWorker	no	6.2 and higher
AddAtomA	xp	3.51 and higher
AddAtomW	xp	3.51 and higher
AddConsoleAliasA	no	3.51 and higher (NT only)
AddConsoleAliasW	no	3.51 and higher (NT only)
AddDllDirectory	no	6.2 and higher
AddIntegrityLabelToBoundaryDescriptor	no	6.1 and higher
AddLocalAlternateComputerNameA	xp	5.1 and higher
AddLocalAlternateComputerNameW	xp	5.1 and higher
AddRefActCtx	xp	5.1 and higher
AddRefActCtxWorker	no	6.2 and higher
AddResourceAttributeAce	no	6.2 and higher
AddSIDToBoundaryDescriptor	no	6.0 and higher
AddScopedPolicyIDAce	no	6.2 and higher
AddSecureMemoryCacheCallback	no	6.0 from Windows Vista SP1, and higher
AddVectoredContinueHandler	no	5.2 from Windows Server 2003 SP1, and higher
AddVectoredExceptionHandler	xp	5.1 and higher
AdjustCalendarDate	no	6.0 and higher
AllocConsole	xp	3.51 and higher
AllocLSCallback	no	4.0 to 4.90 (Windows only)
AllocSLCallback	no	4.0 to 4.90 (Windows only)
AllocateUserPhysicalPages	xp	5.0 and higher
AllocateUserPhysicalPagesNuma	no	6.0 and higher
AppContainerDeriveSidFromMoniker	no	6.2 only
AppContainerFreeMemory	no	6.2 only
AppContainerLookupDisplayNameMrtReference	no	6.2 only
AppContainerLookupMoniker	no	6.2 only
AppContainerRegisterSid	no	6.2 only
AppContainerUnregisterSid	no	6.2 only
AppXFreeMemory	no	6.2 only
AppXGetApplicationData	no	6.2 only
AppXGetDevelopmentMode	no	6.2 only
AppXGetOSMaxVersionTested	no	6.2 and higher
AppXGetOSMinVersion	no	6.2 only
AppXGetPackageCapabilities	no	6.2 only
AppXGetPackageSid	no	6.2 only
AppXGetPackageState	no	6.2 only
AppXLookupDisplayName	no	6.2 only
AppXLookupMoniker	no	6.2 only
AppXSetPackageState	no	6.2 only
ApplicationRecoveryFinished	no	6.0 and higher
ApplicationRecoveryInProgress	no	6.0 and higher
AreFileApisANSI	xp	3.51 and higher
AssignProcessToJobObject	xp	5.0 and higher
AttachConsole	xp	5.1 and higher
BackupRead	xp	3.51 and higher
BackupSeek	xp	3.51 and higher
BackupWrite	xp	3.51 and higher
BaseAttachCompleteThunk	no	3.51 to 5.0 (NT only)
BaseCheckAppcompatCache	xp	5.1 and higher
BaseCheckAppcompatCacheEx	no	6.1 and higher
BaseCheckAppcompatCacheExWorker	no	6.2 and higher
BaseCheckAppcompatCacheWorker	no	6.2 and higher
BaseCheckElevation	no	6.2 and higher
BaseCheckRunApp	no	5.2 from Windows Server 2003 SP1, to 6.3
BaseCleanupAppcompatCache	xp	5.1 only
BaseCleanupAppcompatCacheSupport	xp	5.1 and higher
BaseCleanupAppcompatCacheSupportWorker	no	6.2 and higher
BaseDestroyVDMEnvironment	no	6.2 and higher
BaseDllReadWriteIniFile	no	6.1 and higher
BaseDumpAppcompatCache	xp	5.1 and higher
BaseDumpAppcompatCacheWorker	no	6.2 and higher
BaseElevationPostProcessing	no	6.2 and higher
BaseFlushAppcompatCache	xp	5.1 and higher
BaseFlushAppcompatCacheWorker	no	6.2 and higher
BaseFormatObjectAttributes	no	6.1 and higher
BaseFormatTimeOut	no	6.1 and higher
BaseFreeAppCompatDataForProcessWorker	no	6.3 and higher
BaseGenerateAppCompatData	no	6.0 and higher
BaseGetNamedObjectDirectory	no	6.1 and higher
BaseInitAppcompatCache	xp	5.1 only
BaseInitAppcompatCacheSupport	xp	5.1 and higher
BaseInitAppcompatCacheSupportWorker	no	6.2 and higher
BaseIsAppcompatInfrastructureDisabled	no	5.2 and higher
BaseIsAppcompatInfrastructureDisabledWorker	no	6.2 and higher
BaseIsDosApplication	no	6.2 and higher
BaseProcessInitPostImport	xp	5.1 and 5.2
BaseProcessStart	no	5.2 only (x64 only)
BaseQueryModuleData	?	some 5.1 and 5.2, and higher; 
    begins in 5.1 from Windows XP SP2; 
    begins in 5.2 from Windows Server 2003 SP1
BaseReadAppCompatDataForProcessWorker	no	6.3 and higher
BaseSetLastNTError	no	6.1 and higher
BaseThreadInitThunk	no	6.0 and higher
BaseThreadStart	no	5.2 only (x64 only)
BaseUpdateAppcompatCache	xp	5.1 and higher
BaseUpdateAppcompatCacheWorker	no	6.2 and higher
BaseUpdateVDMEntry	no	6.2 and higher
BaseVerifyUnicodeString	no	6.1 and higher
BaseWriteErrorElevationRequiredEvent	no	6.2 and higher
Basep8BitStringToDynamicUnicodeString	no	6.1 and higher
BasepAllocateActivationContextActivationBlock	no	6.1 and higher
BasepAnsiStringToDynamicUnicodeString	no	6.1 and higher
BasepAppCompatHookDLL	no	6.2 only
BasepAppContainerEnvironmentExtension	no	6.2 and higher
BasepAppXExtension	no	6.2 and higher
BasepCheckAppCompat	no	6.1 and higher
BasepCheckBadapp	no	5.2 from Windows Server 2003 SP1, to 6.3
BasepCheckWebBladeHashes	no	6.2 and higher
BasepCheckWinSaferRestrictions	?	some 5.1 and 5.2, and higher; 
    begins in 5.1 from Windows XP SP2; 
    begins in 5.2 from Windows Server 2003 SP1
BasepConstructSxsCreateProcessMessage	no	6.2 and higher
BasepCopyEncryption	no	6.2 and higher
BasepFreeActivationContextActivationBlock	no	6.1 and higher
BasepFreeAppCompatData	no	5.2 from Windows Server 2003 SP1, and higher
BasepGetAppCompatData	no	6.2 and higher
BasepGetComputerNameFromNtPath	no	6.2 and higher
BasepGetExeArchType	no	6.2 and higher
BasepIsProcessAllowed	no	6.2 and higher
BasepMapModuleHandle	no	6.1 and higher
BasepNotifyLoadStringResource	no	6.2 and higher
BasepPostSuccessAppXExtension	no	6.2 and higher
BasepProcessInvalidImage	no	6.2 and higher
BasepQueryAppCompat	no	6.2 and higher
BasepReleaseAppXContext	no	6.2 and higher
BasepReleaseSxsCreateProcessUtilityStruct	no	6.2 and higher
BasepReportFault	no	6.2 and higher
BasepSetFileEncryptionCompression	no	6.2 and higher
Beep	xp	3.51 and higher
BeginUpdateResourceA	xp	3.51 and higher
BeginUpdateResourceW	xp	3.51 and higher
BindIoCompletionCallback	xp	5.0 and higher
BuildCommDCBA	xp	3.51 and higher
BuildCommDCBAndTimeoutsA	xp	3.51 and higher
BuildCommDCBAndTimeoutsW	xp	3.51 and higher
BuildCommDCBW	xp	3.51 and higher
CallNamedPipeA	xp	3.51 and higher
CallNamedPipeW	xp	3.51 and higher
Callback12	no	4.0 to 4.90 (Windows only)
Callback16	no	4.0 to 4.90 (Windows only)
Callback20	no	4.0 to 4.90 (Windows only)
Callback24	no	4.0 to 4.90 (Windows only)
Callback28	no	4.0 to 4.90 (Windows only)
Callback32	no	4.0 to 4.90 (Windows only)
Callback36	no	4.0 to 4.90 (Windows only)
Callback4	no	4.0 to 4.90 (Windows only)
Callback40	no	4.0 to 4.90 (Windows only)
Callback44	no	4.0 to 4.90 (Windows only)
Callback48	no	4.0 to 4.90 (Windows only)
Callback52	no	4.0 to 4.90 (Windows only)
Callback56	no	4.0 to 4.90 (Windows only)
Callback60	no	4.0 to 4.90 (Windows only)
Callback64	no	4.0 to 4.90 (Windows only)
Callback8	no	4.0 to 4.90 (Windows only)
CallbackMayRunLong	no	6.0 and higher
CalloutOnFiberStack	no	6.3 and higher
CancelDeviceWakeupRequest	xp	4.10 and higher
CancelIo	xp	4.0 from Windows NT 4.0, and higher
CancelIoEx	no	6.0 and higher
CancelSynchronousIo	no	6.0 and higher
CancelThreadpoolIo	no	6.0 and higher
CancelTimerQueueTimer	xp	5.0 and higher
CancelWaitableTimer	xp	4.0 from Windows NT 4.0, and higher
CeipIsOptedIn	no	6.2 and higher
ChangeTimerQueueTimer	xp	5.0 and higher
CheckAllowDecryptedRemoteDestinationPolicy	no	6.2 and higher
CheckElevation	no	6.0 and higher
CheckElevationEnabled	no	6.0 and higher
CheckForReadOnlyResource	no	6.0 and higher
CheckForReadOnlyResourceFilter	no	6.2 and higher
CheckNameLegalDOS8Dot3A	xp	5.1 from Windows XP SP1, and higher
CheckNameLegalDOS8Dot3W	xp	5.1 from Windows XP SP1, and higher
CheckRemoteDebuggerPresent	xp	5.1 from Windows XP SP1, and higher
CheckTokenCapability	no	6.2 and higher
CheckTokenMembershipEx	no	6.2 and higher
ClearCommBreak	xp	3.51 and higher
ClearCommError	xp	3.51 and higher
CloseConsoleHandle	no	3.51 and higher (NT only)
CloseHandle	xp	3.51 and higher
ClosePackageInfo	no	6.2 and higher
ClosePrivateNamespace	no	6.0 and higher
CloseProfileUserMapping	xp	3.51 and higher
CloseState	no	6.2 and higher
CloseStateAtom	no	6.2 only
CloseStateChangeNotification	no	6.2 only
CloseStateContainer	no	6.2 only
CloseStateLock	no	6.2 only
CloseSystemHandle	no	4.0 to 4.90 (Windows only)
CloseThreadpool	no	6.0 and higher
CloseThreadpoolCleanupGroup	no	6.0 and higher
CloseThreadpoolCleanupGroupMembers	no	6.0 and higher
CloseThreadpoolIo	no	6.0 and higher
CloseThreadpoolTimer	no	6.0 and higher
CloseThreadpoolWait	no	6.0 and higher
CloseThreadpoolWork	no	6.0 and higher
CmdBatNotification	no	3.51 and higher (NT only)
CommConfigDialogA	xp	3.51 and higher
CommConfigDialogW	xp	3.51 and higher
CommitStateAtom	no	6.2 only
CompareCalendarDates	no	6.0 and higher
CompareFileTime	xp	3.51 and higher
CompareStringA	xp	3.51 and higher
CompareStringEx	no	6.0 and higher
CompareStringOrdinal	no	6.0 and higher
CompareStringW	xp	3.51 and higher
ConnectNamedPipe	xp	3.51 and higher
ConsoleIMERoutine	no	5.2 and 6.0 (x64 only)
ConsoleMenuControl	no	3.51 and higher (NT only)
ContinueDebugEvent	xp	3.51 and higher
ConvertCalDateTimeToSystemTime	no	6.0 and higher
ConvertDefaultLocale	xp	3.51 and higher
ConvertFiberToThread	xp	5.1 and higher
ConvertNLSDayOfWeekToWin32DayOfWeek	no	6.0 and higher
ConvertSystemTimeToCalDateTime	no	6.0 and higher
ConvertThreadToFiber	xp	3.51 from Windows NT 3.51 SP5, and higher (NT); 
    4.10 to 4.90 (Windows)
ConvertThreadToFiberEx	no	5.2 and higher
ConvertToGlobalHandle	no	4.0 to 4.90 (Windows only)
CopyContext	no	6.1 from Windows 7 SP1, and higher
CopyExtendedContext	no	6.1 before Windows 7 SP1
CopyFile2	no	6.2 and higher
CopyFileA	xp	3.51 and higher
CopyFileExA	xp	4.0 from Windows NT 4.0, and higher
CopyFileExW	xp	4.0 from Windows NT 4.0, and higher
CopyFileTransactedA	no	6.0 and higher
CopyFileTransactedW	no	6.0 and higher
CopyFileW	xp	3.51 and higher
CopyLZFile	xp	5.1 and higher
CreateActCtxA	xp	5.1 and higher
CreateActCtxW	xp	5.1 and higher
CreateActCtxWWorker	no	6.2 and higher
CreateBoundaryDescriptorA	no	6.0 and higher
CreateBoundaryDescriptorW	no	6.0 and higher
CreateConsoleScreenBuffer	xp	3.51 and higher
CreateDirectoryA	xp	3.51 and higher
CreateDirectoryExA	xp	3.51 and higher
CreateDirectoryExW	xp	3.51 and higher
CreateDirectoryTransactedA	no	6.0 and higher
CreateDirectoryTransactedW	no	6.0 and higher
CreateDirectoryW	xp	3.51 and higher
CreateEventA	xp	3.51 and higher
CreateEventExA	no	6.0 and higher
CreateEventExW	no	6.0 and higher
CreateEventW	xp	3.51 and higher
CreateFiber	xp	3.51 from Windows NT 3.51 SP5, and higher (NT); 
    4.10 to 4.90 (Windows)
CreateFiberEx	xp	5.0 from Windows 2000 SP2, and higher
CreateFile2	no	6.2 and higher
CreateFileA	xp	3.51 and higher
CreateFileMappingA	xp	3.51 and higher
CreateFileMappingFromApp	no	6.2 and higher
CreateFileMappingNumaA	no	6.0 and higher
CreateFileMappingNumaW	no	6.0 and higher
CreateFileMappingW	xp	3.51 and higher
CreateFileTransactedA	no	6.0 and higher
CreateFileTransactedW	no	6.0 and higher
CreateFileW	xp	3.51 and higher
CreateHardLinkA	xp	5.0 and higher
CreateHardLinkTransactedA	no	6.0 and higher
CreateHardLinkTransactedW	no	6.0 and higher
CreateHardLinkW	xp	5.0 and higher
CreateIoCompletionPort	xp	3.51 and higher
CreateJobObjectA	xp	5.0 and higher
CreateJobObjectW	xp	5.0 and higher
CreateJobSet	xp	5.1 and higher
CreateKernelThread	no	4.0 to 4.90 (Windows only)
CreateMailslotA	xp	3.51 and higher
CreateMailslotW	xp	3.51 and higher
CreateMemoryResourceNotification	xp	5.1 and higher
CreateMutexA	xp	3.51 and higher
CreateMutexExA	no	6.0 and higher
CreateMutexExW	no	6.0 and higher
CreateMutexW	xp	3.51 and higher
CreateNamedPipeA	xp	3.51 and higher
CreateNamedPipeW	xp	3.51 and higher
CreateNlsSecurityDescriptor	xp	5.1 from Windows XP SP1 to 5.2
CreatePipe	xp	3.51 and higher
CreatePrivateNamespaceA	no	6.0 and higher
CreatePrivateNamespaceW	no	6.0 and higher
CreateProcessA	xp	3.51 and higher
CreateProcessAsUserA	no	10.0 and higher; 
    earlier in ADVAPI32
CreateProcessAsUserW	no	6.1 and higher; 
    earlier in ADVAPI32
CreateProcessInternalA	xp	5.0 from Windows 2000 SP3, and higher
CreateProcessInternalW	xp	5.0 from Windows 2000 SP3, and higher
CreateProcessInternalWSecure	?	some 5.0 and 5.1 only; 
    begins in 5.0 from Windows 2000 SP4; 
    begins in 5.1 from Windows XP SP2
CreateProcessW	xp	3.51 and higher
CreateRemoteThread	xp	3.51 and higher
CreateRemoteThreadEx	no	6.1 and higher
CreateSemaphoreA	xp	3.51 and higher
CreateSemaphoreExA	no	6.0 and higher
CreateSemaphoreExW	no	6.0 and higher
CreateSemaphoreW	xp	3.51 and higher
CreateSocketHandle	no	4.0 to 4.90 (Windows); 
    5.1 and higher (NT, x86 only)
CreateStateAtom	no	6.2 only
CreateStateChangeNotification	no	6.2 only
CreateStateContainer	no	6.2 only
CreateStateLock	no	6.2 only
CreateStateSubcontainer	no	6.2 only
CreateSymbolicLinkA	no	6.0 and higher
CreateSymbolicLinkTransactedA	no	6.0 and higher
CreateSymbolicLinkTransactedW	no	6.0 and higher
CreateSymbolicLinkW	no	6.0 and higher
CreateTapePartition	xp	3.51 and higher
CreateThread	xp	3.51 and higher
CreateThreadpool	no	6.0 and higher
CreateThreadpoolCleanupGroup	no	6.0 and higher
CreateThreadpoolIo	no	6.0 and higher
CreateThreadpoolTimer	no	6.0 and higher
CreateThreadpoolWait	no	6.0 and higher
CreateThreadpoolWork	no	6.0 and higher
CreateTimerQueue	xp	5.0 and higher
CreateTimerQueueTimer	xp	5.0 and higher
CreateToolhelp32Snapshot	xp	4.0 and higher
CreateUmsCompletionList	no	6.1 and higher (x64 only)
CreateUmsThreadContext	no	6.1 and higher (x64 only)
CreateVirtualBuffer	no	3.51 to 5.2 before Windows Server 2003 SP1 (NT only)
CreateWaitableTimerA	xp	4.0 (NT) and higher
CreateWaitableTimerExA	no	6.0 and higher
CreateWaitableTimerExW	no	6.0 and higher
CreateWaitableTimerW	xp	4.0 (NT) and higher
CtrlRoutine	no	5.2 from Windows Server 2003 SP1, and higher (x64); 
    6.1 and higher (x86)
DeactivateActCtx	xp	5.1 and higher
DeactivateActCtxWorker	no	6.2 and higher
DebugActiveProcess	xp	3.51 and higher
DebugActiveProcessStop	xp	5.1 and higher
DebugBreak	xp	3.51 and higher
DebugBreakProcess	xp	5.1 and higher
DebugSetProcessKillOnExit	xp	5.1 and higher
DecodePointer	?	some 5.1 and 5.2, and higher; 
    begins in 5.1 from Windows XP SP2; 
    begins in 5.2 from Windows Server 2003 SP1
DecodeSystemPointer	?	some 5.1 and 5.2, and higher; 
    begins in 5.1 from Windows XP SP2; 
    begins in 5.2 from Windows Server 2003 SP1
DefineDosDeviceA	xp	3.51 and higher
DefineDosDeviceW	xp	3.51 and higher
DelayLoadFailureHook	xp	5.0 and higher
DeleteAtom	xp	3.51 and higher
DeleteBoundaryDescriptor	no	6.0 and higher
DeleteCriticalSection	xp	3.51 and higher
DeleteFiber	xp	3.51 from Windows NT 3.51 SP5, and higher (NT); 
    4.10 to 4.90 (Windows)
DeleteFileA	xp	3.51 and higher
DeleteFileTransactedA	no	6.0 and higher
DeleteFileTransactedW	no	6.0 and higher
DeleteFileW	xp	3.51 and higher
DeleteProcThreadAttributeList	no	6.0 and higher
DeleteStateAtomValue	no	6.2 only
DeleteStateContainer	no	6.2 only
DeleteStateContainerValue	no	6.2 only
DeleteSynchronizationBarrier	no	6.3 and higher
DeleteTimerQueue	xp	5.0 and higher
DeleteTimerQueueEx	xp	5.0 and higher
DeleteTimerQueueTimer	xp	5.0 and higher
DeleteUmsCompletionList	no	6.1 and higher (x64 only)
DeleteUmsThreadContext	no	6.1 and higher (x64 only)
DeleteVolumeMountPointA	xp	5.0 and higher
DeleteVolumeMountPointW	xp	5.0 and higher
DequeueUmsCompletionListItems	no	6.1 and higher (x64 only)
DeviceIoControl	xp	3.51 and higher
DisableThreadLibraryCalls	xp	3.51 and higher
DisableThreadProfiling	no	6.1 and higher
DisassociateCurrentThreadFromCallback	no	6.0 and higher
DiscardVirtualMemory	no	10.0 and higher
DisconnectNamedPipe	xp	3.51 and higher
DnsHostnameToComputerNameA	xp	5.0 and higher
DnsHostnameToComputerNameExW	no	6.3 and higher
DnsHostnameToComputerNameW	xp	5.0 and higher
DosDateTimeToFileTime	xp	3.51 and higher
DosPathToSessionPathA	xp	5.0 and higher
DosPathToSessionPathW	xp	5.0 and higher
DuplicateConsoleHandle	no	3.51 and higher (NT only)
DuplicateEncryptionInfoFileExt	no	6.2 and higher
DuplicateHandle	xp	3.51 and higher
