# kernel32.dll exports and whether ReactOS 0.4.16 (x86, reports NT 5.2) has them.
# Source: the export tables of \reactos\system32\kernel32.dll and kernel32_vista.dll
# inside the released ReactOS-0.4.16-i386 image, read with pefile. Not documentation:
# these are the bytes the target actually ships. Format: name<TAB>reactos|no<TAB>where
# Names come from that image plus every name in kernel32-exports.tsv, so a function
# XP has and ReactOS lacks appears here as absent rather than simply missing.
# kernel32_vista.dll is marked absent on purpose: it is an internal ReactOS module,
# imported in that image only by ReactOS's own DLLs, never by an application.
# Regenerate with scripts/fetch-reactos-exports.py <ReactOS-0.4.16-i386.iso>.
AcquireSRWLockExclusive	no	kernel32_vista.dll only
AcquireSRWLockShared	no	kernel32_vista.dll only
AcquireStateLock	no	absent
ActivateActCtx	reactos	kernel32.dll
ActivateActCtxWorker	no	absent
AddAtomA	reactos	kernel32.dll
AddAtomW	reactos	kernel32.dll
AddConsoleAliasA	reactos	kernel32.dll
AddConsoleAliasW	reactos	kernel32.dll
AddDllDirectory	no	absent
AddIntegrityLabelToBoundaryDescriptor	no	absent
AddLocalAlternateComputerNameA	reactos	kernel32.dll
AddLocalAlternateComputerNameW	reactos	kernel32.dll
AddRefActCtx	reactos	kernel32.dll
AddRefActCtxWorker	no	absent
AddResourceAttributeAce	no	absent
AddSIDToBoundaryDescriptor	no	absent
AddScopedPolicyIDAce	no	absent
AddSecureMemoryCacheCallback	no	absent
AddVectoredContinueHandler	reactos	kernel32.dll
AddVectoredExceptionHandler	reactos	kernel32.dll
AdjustCalendarDate	no	absent
AllocConsole	reactos	kernel32.dll
AllocLSCallback	no	absent
AllocSLCallback	no	absent
AllocateUserPhysicalPages	reactos	kernel32.dll
AllocateUserPhysicalPagesNuma	no	absent
AppContainerDeriveSidFromMoniker	no	absent
AppContainerFreeMemory	no	absent
AppContainerLookupDisplayNameMrtReference	no	absent
AppContainerLookupMoniker	no	absent
AppContainerRegisterSid	no	absent
AppContainerUnregisterSid	no	absent
AppXFreeMemory	no	absent
AppXGetApplicationData	no	absent
AppXGetDevelopmentMode	no	absent
AppXGetOSMaxVersionTested	no	absent
AppXGetOSMinVersion	no	absent
AppXGetPackageCapabilities	no	absent
AppXGetPackageSid	no	absent
AppXGetPackageState	no	absent
AppXLookupDisplayName	no	absent
AppXLookupMoniker	no	absent
AppXSetPackageState	no	absent
ApplicationRecoveryFinished	no	kernel32_vista.dll only
ApplicationRecoveryInProgress	no	kernel32_vista.dll only
AreFileApisANSI	reactos	kernel32.dll
AssignProcessToJobObject	reactos	kernel32.dll
AttachConsole	reactos	kernel32.dll
BackupRead	reactos	kernel32.dll
BackupSeek	reactos	kernel32.dll
BackupWrite	reactos	kernel32.dll
BaseAttachCompleteThunk	no	absent
BaseCheckAppcompatCache	reactos	kernel32.dll
BaseCheckAppcompatCacheEx	no	absent
BaseCheckAppcompatCacheExWorker	no	absent
BaseCheckAppcompatCacheWorker	no	absent
BaseCheckElevation	no	absent
BaseCheckRunApp	reactos	kernel32.dll
BaseCleanupAppcompatCache	no	absent
BaseCleanupAppcompatCacheSupport	reactos	kernel32.dll
BaseCleanupAppcompatCacheSupportWorker	no	absent
BaseDestroyVDMEnvironment	no	absent
BaseDllReadWriteIniFile	no	absent
BaseDumpAppcompatCache	reactos	kernel32.dll
BaseDumpAppcompatCacheWorker	no	absent
BaseElevationPostProcessing	no	absent
BaseFlushAppcompatCache	reactos	kernel32.dll
BaseFlushAppcompatCacheWorker	no	absent
BaseFormatObjectAttributes	no	absent
BaseFormatTimeOut	no	absent
BaseFreeAppCompatDataForProcessWorker	no	absent
BaseGenerateAppCompatData	no	absent
BaseGetNamedObjectDirectory	no	absent
BaseInitAppcompatCache	no	absent
BaseInitAppcompatCacheSupport	reactos	kernel32.dll
BaseInitAppcompatCacheSupportWorker	no	absent
BaseIsAppcompatInfrastructureDisabled	reactos	kernel32.dll
BaseIsAppcompatInfrastructureDisabledWorker	no	absent
BaseIsDosApplication	no	absent
BaseProcessInitPostImport	reactos	kernel32.dll
BaseProcessStart	no	absent
BaseQueryModuleData	reactos	kernel32.dll
BaseReadAppCompatDataForProcessWorker	no	absent
BaseSetLastNTError	no	absent
BaseThreadInitThunk	no	absent
BaseThreadStart	no	absent
BaseUpdateAppcompatCache	reactos	kernel32.dll
BaseUpdateAppcompatCacheWorker	no	absent
BaseUpdateVDMEntry	no	absent
BaseVerifyUnicodeString	no	absent
BaseWriteErrorElevationRequiredEvent	no	absent
Basep8BitStringToDynamicUnicodeString	no	absent
BasepAllocateActivationContextActivationBlock	no	absent
BasepAnsiStringToDynamicUnicodeString	no	absent
BasepAppCompatHookDLL	no	absent
BasepAppContainerEnvironmentExtension	no	absent
BasepAppXExtension	no	absent
BasepCheckAppCompat	no	absent
BasepCheckBadapp	reactos	kernel32.dll
BasepCheckWebBladeHashes	no	absent
BasepCheckWinSaferRestrictions	reactos	kernel32.dll
BasepConstructSxsCreateProcessMessage	no	absent
BasepCopyEncryption	no	absent
BasepFreeActivationContextActivationBlock	no	absent
BasepFreeAppCompatData	reactos	kernel32.dll
BasepGetAppCompatData	no	absent
BasepGetComputerNameFromNtPath	no	absent
BasepGetExeArchType	no	absent
BasepIsProcessAllowed	no	absent
BasepMapModuleHandle	no	absent
BasepNotifyLoadStringResource	no	absent
BasepPostSuccessAppXExtension	no	absent
BasepProcessInvalidImage	no	absent
BasepQueryAppCompat	no	absent
BasepReleaseAppXContext	no	absent
BasepReleaseSxsCreateProcessUtilityStruct	no	absent
BasepReportFault	no	absent
BasepSetFileEncryptionCompression	no	absent
Beep	reactos	kernel32.dll
BeginUpdateResourceA	reactos	kernel32.dll
BeginUpdateResourceW	reactos	kernel32.dll
BindIoCompletionCallback	reactos	kernel32.dll
BuildCommDCBA	reactos	kernel32.dll
BuildCommDCBAndTimeoutsA	reactos	kernel32.dll
BuildCommDCBAndTimeoutsW	reactos	kernel32.dll
BuildCommDCBW	reactos	kernel32.dll
CallNamedPipeA	reactos	kernel32.dll
CallNamedPipeW	reactos	kernel32.dll
Callback12	no	absent
Callback16	no	absent
Callback20	no	absent
Callback24	no	absent
Callback28	no	absent
Callback32	no	absent
Callback36	no	absent
Callback4	no	absent
Callback40	no	absent
Callback44	no	absent
Callback48	no	absent
Callback52	no	absent
Callback56	no	absent
Callback60	no	absent
Callback64	no	absent
Callback8	no	absent
CallbackMayRunLong	no	absent
CalloutOnFiberStack	no	absent
CancelDeviceWakeupRequest	reactos	kernel32.dll
CancelIo	reactos	kernel32.dll
CancelIoEx	no	absent
CancelSynchronousIo	no	absent
CancelThreadpoolIo	no	absent
CancelTimerQueueTimer	reactos	kernel32.dll
CancelWaitableTimer	reactos	kernel32.dll
CeipIsOptedIn	no	absent
ChangeTimerQueueTimer	reactos	kernel32.dll
CheckAllowDecryptedRemoteDestinationPolicy	no	absent
CheckElevation	no	absent
CheckElevationEnabled	no	absent
CheckForReadOnlyResource	no	absent
CheckForReadOnlyResourceFilter	no	absent
CheckNameLegalDOS8Dot3A	reactos	kernel32.dll
CheckNameLegalDOS8Dot3W	reactos	kernel32.dll
CheckRemoteDebuggerPresent	reactos	kernel32.dll
CheckTokenCapability	no	absent
CheckTokenMembershipEx	no	absent
ClearCommBreak	reactos	kernel32.dll
ClearCommError	reactos	kernel32.dll
CloseConsoleHandle	reactos	kernel32.dll
CloseHandle	reactos	kernel32.dll
ClosePackageInfo	no	absent
ClosePrivateNamespace	no	absent
CloseProfileUserMapping	reactos	kernel32.dll
CloseState	no	absent
CloseStateAtom	no	absent
CloseStateChangeNotification	no	absent
CloseStateContainer	no	absent
CloseStateLock	no	absent
CloseSystemHandle	no	absent
CloseThreadpool	no	absent
CloseThreadpoolCleanupGroup	no	absent
CloseThreadpoolCleanupGroupMembers	no	absent
CloseThreadpoolIo	no	absent
CloseThreadpoolTimer	no	absent
CloseThreadpoolWait	no	absent
CloseThreadpoolWork	no	absent
CmdBatNotification	reactos	kernel32.dll
CommConfigDialogA	reactos	kernel32.dll
CommConfigDialogW	reactos	kernel32.dll
CommitStateAtom	no	absent
CompareCalendarDates	no	absent
CompareFileTime	reactos	kernel32.dll
CompareStringA	reactos	kernel32.dll
CompareStringEx	no	absent
CompareStringOrdinal	no	kernel32_vista.dll only
CompareStringW	reactos	kernel32.dll
ConnectNamedPipe	reactos	kernel32.dll
ConsoleIMERoutine	no	absent
ConsoleMenuControl	reactos	kernel32.dll
ContinueDebugEvent	reactos	kernel32.dll
ConvertCalDateTimeToSystemTime	no	absent
ConvertDefaultLocale	reactos	kernel32.dll
ConvertFiberToThread	reactos	kernel32.dll
ConvertNLSDayOfWeekToWin32DayOfWeek	no	absent
ConvertSystemTimeToCalDateTime	no	absent
ConvertThreadToFiber	reactos	kernel32.dll
ConvertThreadToFiberEx	reactos	kernel32.dll
ConvertToGlobalHandle	no	absent
CopyContext	no	absent
CopyExtendedContext	no	absent
CopyFile2	no	absent
CopyFileA	reactos	kernel32.dll
CopyFileExA	reactos	kernel32.dll
CopyFileExW	reactos	kernel32.dll
CopyFileTransactedA	no	absent
CopyFileTransactedW	no	absent
CopyFileW	reactos	kernel32.dll
CopyLZFile	reactos	kernel32.dll
CreateActCtxA	reactos	kernel32.dll
CreateActCtxW	reactos	kernel32.dll
CreateActCtxWWorker	no	absent
CreateBoundaryDescriptorA	no	absent
CreateBoundaryDescriptorW	no	absent
CreateConsoleScreenBuffer	reactos	kernel32.dll
CreateDirectoryA	reactos	kernel32.dll
CreateDirectoryExA	reactos	kernel32.dll
CreateDirectoryExW	reactos	kernel32.dll
CreateDirectoryTransactedA	no	absent
CreateDirectoryTransactedW	no	absent
CreateDirectoryW	reactos	kernel32.dll
CreateEventA	reactos	kernel32.dll
CreateEventExA	no	absent
CreateEventExW	no	absent
CreateEventW	reactos	kernel32.dll
CreateFiber	reactos	kernel32.dll
CreateFiberEx	reactos	kernel32.dll
CreateFile2	no	absent
CreateFileA	reactos	kernel32.dll
CreateFileMappingA	reactos	kernel32.dll
CreateFileMappingFromApp	no	absent
CreateFileMappingNumaA	no	absent
CreateFileMappingNumaW	no	absent
CreateFileMappingW	reactos	kernel32.dll
CreateFileTransactedA	no	absent
CreateFileTransactedW	no	absent
CreateFileW	reactos	kernel32.dll
CreateHardLinkA	reactos	kernel32.dll
CreateHardLinkTransactedA	no	absent
CreateHardLinkTransactedW	no	absent
CreateHardLinkW	reactos	kernel32.dll
CreateIoCompletionPort	reactos	kernel32.dll
CreateJobObjectA	reactos	kernel32.dll
CreateJobObjectW	reactos	kernel32.dll
CreateJobSet	reactos	kernel32.dll
CreateKernelThread	no	absent
CreateMailslotA	reactos	kernel32.dll
CreateMailslotW	reactos	kernel32.dll
CreateMemoryResourceNotification	reactos	kernel32.dll
CreateMutexA	reactos	kernel32.dll
CreateMutexExA	no	absent
CreateMutexExW	no	absent
CreateMutexW	reactos	kernel32.dll
CreateNamedPipeA	reactos	kernel32.dll
CreateNamedPipeW	reactos	kernel32.dll
CreateNlsSecurityDescriptor	reactos	kernel32.dll
CreatePipe	reactos	kernel32.dll
CreatePrivateNamespaceA	no	absent
CreatePrivateNamespaceW	no	absent
CreateProcessA	reactos	kernel32.dll
CreateProcessAsUserA	no	absent
CreateProcessAsUserW	no	absent
CreateProcessInternalA	reactos	kernel32.dll
CreateProcessInternalW	reactos	kernel32.dll
CreateProcessInternalWSecure	no	absent
CreateProcessW	reactos	kernel32.dll
CreateRemoteThread	reactos	kernel32.dll
CreateRemoteThreadEx	no	absent
CreateSemaphoreA	reactos	kernel32.dll
CreateSemaphoreExA	no	absent
CreateSemaphoreExW	no	absent
CreateSemaphoreW	reactos	kernel32.dll
CreateSocketHandle	reactos	kernel32.dll
CreateStateAtom	no	absent
CreateStateChangeNotification	no	absent
CreateStateContainer	no	absent
CreateStateLock	no	absent
CreateStateSubcontainer	no	absent
CreateSymbolicLinkA	no	kernel32_vista.dll only
CreateSymbolicLinkTransactedA	no	absent
CreateSymbolicLinkTransactedW	no	absent
CreateSymbolicLinkW	no	kernel32_vista.dll only
CreateTapePartition	reactos	kernel32.dll
CreateThread	reactos	kernel32.dll
CreateThreadpool	no	absent
CreateThreadpoolCleanupGroup	no	absent
CreateThreadpoolIo	no	absent
CreateThreadpoolTimer	no	absent
CreateThreadpoolWait	no	absent
CreateThreadpoolWork	no	absent
CreateTimerQueue	reactos	kernel32.dll
